Country Name,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
Uruguay,685.49,4.04,0.013,0.025,169.68
Portugal,184.98,2.46,0.004,0.015,75.2
Lebanon,107.5,1.81,0.002,0.011,59.39
Lithuania,698.3,1.4,0.014,0.009,498.79
Hong Kong,44.37,1.29,0.001,0.008,34.4
Slovenia,57.25,1.18,0.001,0.007,48.52
Hungary,565.35,1.12,0.011,0.007,504.78
Bahamas,52.5,1.09,0.001,0.007,48.17
Kuwait,144.38,0.98,0.003,0.006,147.33
Cuba,88.63,0.87,0.002,0.005,101.87
Baharain Is,57.45,0.87,0.001,0.005,66.03
Tajikistan,218.0,0.86,0.004,0.005,253.49
Greece,88.52,0.77,0.002,0.005,114.96
Tunisia,307.06,0.76,0.006,0.005,404.03
Romania,245.46,0.72,0.005,0.005,340.92
Costa Rica,91.08,0.67,0.002,0.004,135.94
Finland,52.91,0.62,0.001,0.004,85.34
Colombia,94.03,0.54,0.002,0.003,174.13
Norway,53.53,0.49,0.001,0.003,109.24
Algeria,195.74,0.45,0.004,0.003,434.98
Estonia,8.85,0.39,0.0,0.002,22.69
Guatemala,0.02,0.21,0.0,0.001,0.1
Djibouti,40.0,0.11,0.001,0.001,363.64
Netherlandantil,3.7,0.11,0.0,0.001,33.64
Jordan,25.0,0.1,0.0,0.001,250.0
Slovak Rep,12.75,0.1,0.0,0.001,127.5
Puerto Rico,3.0,0.09,0.0,0.001,33.33
Belize,22.23,0.09,0.0,0.001,247.0
Mauritius,0.52,0.08,0.0,0.001,6.5
Korea Dp Rp,20.32,0.08,0.0,0.001,254.0
Czech Republic,16.82,0.07,0.0,0.0,240.29
Syria,12.92,0.06,0.0,0.0,215.33
Grenada,6.12,0.05,0.0,0.0,122.4
Qatar,15.0,0.04,0.0,0.0,375.0
Georgia,3.62,0.04,0.0,0.0,90.5
Eswatini,1.3,0.04,0.0,0.0,32.5
Antigua,4.0,0.04,0.0,0.0,100.0
Maldives,0.52,0.03,0.0,0.0,17.33
Bosnia-Hrzgovin,1.38,0.03,0.0,0.0,46.0
Mali,1.29,0.01,0.0,0.0,129.0
Liberia,2.0,0.01,0.0,0.0,200.0
Nigeria,0.49,0.01,0.0,0.0,49.0
Sudan,0.1,0.01,0.0,0.0,10.0
Panama Republic,0.57,0.01,0.0,0.0,57.0
Luxembourg,0.22,0.0,0.0,0.0,inf
Armenia,0.3,0.0,0.0,0.0,inf
Haiti,0.59,0.0,0.0,0.0,inf
Zambia,0.06,0.0,0.0,0.0,inf
St Vincent,0.04,0.0,0.0,0.0,inf
Total,5138790.37,15924.44,100.0,100.0,322.7
